name,manufacturer,mrpDecimal,salePriceDecimal,discountPercent,totalRating,avgRating,maxQuantity,minQuantity,isAvailable
Pharmeasy Women'S Diabetic & Orthopedic Slippers - Coal Black - Size Uk 4,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Royal Blue - Size Uk 7,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Royal Blue - Size Uk 9,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Olive Green - Size Uk 7,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Olive Green - Size Uk 8,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Ebony- Size Uk 9,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Olive Green - Size Uk 9,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Ebony- Size Uk 8,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Olive Green - Size Uk 5,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Royal Blue - Size Uk 10,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Diabetic & Orthopedic Slippers -Men Brown- Size Uk-08,PHARMEASY,1049.00,524.50,50,1,4,20,1,True
Pharmeasy Diabetic & Orthopedic Slippers -Men Blue- Size Uk-10,PHARMEASY,1049.00,524.50,50,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Royal Blue - Size Uk 7,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers - Coal Black - Size Uk 4,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Royal Blue - Size Uk 9,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Olive Green - Size Uk 6,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Ebony- Size Uk 7,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Fish Oil 1000mg Soft Gelatin 60 Capsules,PHARMEASY,399.00,279.30,30,2,4,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Ebony- Size Uk 6,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers -Ebony- Size Uk 8,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers -Ebony- Size Uk 11,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Mens Diabetic & Orthopedic Slippers -Royal Blue - Size Uk 6,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Royal Blue - Size Uk 8,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Coal Black - Size Uk 9,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Coal Black - Size Uk 10,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Coal Black - Size Uk 11,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers - Coal Black - Size Uk 8,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers -Ebony- Size Uk 9,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Multivitamin + Calcium Combo - Complete Nutrition - Bottles Of 60 Each,PHARMEASY,1198.00,658.90,45,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Ebony- Size Uk 4,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Ebony- Size Uk 5,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Coal Black - Size Uk 8,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Coal Black - Size Uk 7,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Men'S Diabetic & Orthopedic Slippers - Coal Black - Size Uk 6,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers -Olive Green - Size Uk 4,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Pharmeasy Women'S Diabetic & Orthopedic Slippers - Coal Black - Size Uk 6,PHARMEASY,1049.00,1049.00,0,Not Available,Not Available,20,1,True
Liveasy Ortho Care Knee Immobilizer 19 Large,LIVEASY,949.00,806.65,15,Not Available,Not Available,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Blue With Pink - Size Uk 5 / Us 8,LIVEASY,699.00,314.55,55,16,4,20,1,True
Liveasy Essentials Diabetic & Orthopedic Slippers (Style 2) - Women Brown- Size Uk-5,LIVEASY,999.00,519.48,48,6,3,20,1,True
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Black - Size Uk 7 / Us 10,LIVEASY,999.00,449.55,55,5,2,20,1,True
Pharmeasy Hot Water Bag - Relieves Pain - Relaxes Sore Muscles - Improves Blood Supply - Blue - 2l,PHARMEASY,349.00,209.40,40,218,3,20,1,False
Liveasy Foods Roasted Peri Peri Makhana - Rich In Protein & Fibre - Assists Weight Loss - 100 Grams,LIVEASY,299.00,161.46,46,124,3,20,1,False
Liveasy Essentials Instant Hand Sanitizer-Kills 99.9% Germs - Gel Based - 200ml,LIVEASY,100.00,80.00,20,183,4,20,1,False
Liveasy Wellness Apple Cider Vinegar With Mother -Improves Metabolism- 500ml Bottle,LIVEASY,649.00,330.99,49,80,3,20,1,False
Liveasy Wellness Immunity Pro - Vitamin C & Zinc - With Herbal Immunity Blend - 60 Tablets,LIVEASY,799.00,439.45,45,50,4,20,1,False
Liveasy Wellness Biotin 10000mcg With Calcium - Prevents Hair Fall - Bottle Of 60,LIVEASY,999.00,549.45,45,86,3,20,1,False
Pharmeasy Knee Cap (Pair) - Protects Knee Joints - Reduces Risk Of Injuries - Grey - Medium,PHARMEASY,325.00,191.75,41,33,4,20,1,False
Pharmeasy Knee Cap (Pair) - Protects Knee Joints - Reduces Risk Of Injuries - Grey - Large,PHARMEASY,325.00,191.75,41,36,4,20,1,False
Liveasy Wellness Zero Calorie Sugar Substitute (Sugar Free) Tablets -300 Tablets,LIVEASY,175.00,148.75,15,53,3,20,1,False
Liveasy Wellness Calcium Magnesium Vitamin D3 - Bones & Dental Health - Bottle Of 90 Tablets,LIVEASY,849.00,509.40,40,96,4,20,1,False
Liveasy Ortho Care Acupressure Slippers - Men (Black) Size 8,LIVEASY,599.00,347.42,42,95,4,20,1,False
Liveasy Foods Baked Quinoa Puffs - Powerhouse Of Protein & 9 Essential Amino Acids - 100 Grams,LIVEASY,299.00,104.65,65,36,3,20,1,False
Pharmeasy Biotin Gummies - Pack Of 60,PHARMEASY,1499.00,749.50,50,8,3,20,1,False
Liveasy Essentials Copper Bottle - Ayurvedic Health Benefits - Leak Proof Cap - 950ml,LIVEASY,1199.00,719.40,40,34,2,20,1,False
Liveasy Essentials Unisteel Bottle Of 1 Liter,LIVEASY,599.00,329.45,45,35,3,20,1,False
Everherb (By Pharmeasy) Giloy (Guduchi) 500mg - Maintains Resipiratory Health - Bottle Of 60,EVERHERB,599.00,599.00,0,41,4,20,1,False
Liveasy Essentials Therapeutic Socks - For Diabetic And Orthopaedic Foot - Unisex Socks - Pack Of 2,LIVEASY,549.00,274.50,50,28,3,20,1,False
Everherb (By Pharmeasy) Tulsi - Immunity Booster Capsules - Fights Against Infection - Bottle Of 60,EVERHERB,599.00,599.00,0,62,4,20,1,False
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Blue With Pink - Size Uk 7/ Us 10,LIVEASY,699.00,314.55,55,15,3,20,1,False
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Blue With Pink - Size Uk 8 / Us 11,LIVEASY,699.00,314.55,55,10,3,20,1,False
Pharmeasy Diabetic & Orthopedic Women Slippers (Fashion Range-1) Cherry Color Size 6,PHARMEASY,1099.00,494.55,55,14,3,20,1,False
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Blue With Pink - Size Uk 6/ Us 9,LIVEASY,699.00,314.55,55,11,4,20,1,False
Pharmeasy Diabetic & Orthopedic Women Slippers (Fashion Range-1) Cherry Color Size 7,PHARMEASY,1099.00,494.55,55,13,4,20,1,False
Pharmeasy Diabetic & Orthopedic Women Slippers (Fashion Range-1) Cherry Color Size 5,PHARMEASY,1099.00,494.55,55,14,4,20,1,False
Pharmeasy Posture Corrector - Corrects Bad Posture - Eases Neck Back & Shoulder Pain - Large,PHARMEASY,999.00,299.70,70,12,1,20,1,False
Pharmeasy Diabetic & Orthopedic Women Slippers (Fashion Range-1) Cherry Color Size 8,PHARMEASY,1099.00,494.55,55,8,4,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers (Style 2) - Women Black- Size Uk-7,LIVEASY,999.00,519.48,48,10,3,20,1,False
Liveasy Essentials Orthopaedic And Diabetic Comfortable Slippers -Mens'Uk 7- Brown,LIVEASY,1099.00,494.55,55,2,4,20,1,False
Pharmeasy Posture Corrector - Corrects Bad Posture - Eases Neck Back & Shoulder Pain - Medium,PHARMEASY,999.00,499.50,50,1,5,20,1,False
Pharmeasy Orthopaedic And Diabetic Slippers -Sandy Beige-Uk6 -Women,PHARMEASY,1399.00,629.55,55,9,3,20,1,False
Pharmeasy Diabetic & Orthopedic Women Slippers (Fashion Range-1) Cherry Color Size 9,PHARMEASY,1099.00,494.55,55,8,4,20,1,False
Pharmeasy Orthopaedic And Diabetic Slippers -Sandy Beige-Uk7 - Women,PHARMEASY,1399.00,629.55,55,3,4,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers (Style 2) - Women Black- Size Uk-6,LIVEASY,999.00,519.48,48,3,4,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers Style 2- Women- Blue With Pink Size 4,LIVEASY,699.00,314.55,55,7,3,20,1,False
Pharmeasy Orthopaedic And Diabetic Slippers -Sandy Beige-Uk5 - Women,PHARMEASY,1399.00,629.55,55,6,3,20,1,False
Liveasy Ortho Care Acupressure Slippers - Men (Black) Size 5,LIVEASY,599.00,347.42,42,14,4,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers (Style 2) - Women Black- Size Uk-5,LIVEASY,999.00,519.48,48,3,4,20,1,False
Pharmeasy Diabetic & Orthopedic Women Slippers (Fashion Range-1) Black Color Size 7,PHARMEASY,1099.00,494.55,55,2,5,20,1,False
Pharmeasy Diabetic & Orthopedic Women Sandals (Fahion Range-2) Brown Color Size 7,PHARMEASY,1299.00,584.55,55,1,1,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers (Style 2) - Women Black- Size Uk-8,LIVEASY,999.00,519.48,48,2,5,20,1,False
Pharmeasy Orthopaedic And Diabetic Slippers -Sandy Beige-Uk8 - Women,PHARMEASY,1399.00,629.55,55,6,3,20,1,False
Pharmeasy Diabetic & Orthopedic Men Slippers (Fashion Range-4) Brown Color Size 8,PHARMEASY,1299.00,584.55,55,10,3,20,1,False
Liveasy Essentials Men'S Diabetic & Orthopedic Velcro Slippers - Black - Size Uk 10,LIVEASY,899.00,404.55,55,15,3,20,1,False
Pharmeasy Diabetic & Orthopedic Men Slippers (Fashion Range-4) Brown Color Size 9,PHARMEASY,1299.00,584.55,55,8,3,20,1,False
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Black - Size Uk 8 / Us 11,LIVEASY,999.00,449.55,55,9,4,20,1,False
Pharmeasy Diabetic & Orthopedic Men Sandals (Fahion Range-3) Brown Color Size 7,PHARMEASY,1299.00,389.70,70,3,4,20,1,False
Pharmeasy Diabetic & Orthopedic Women Slippers (Fashion Range-1) Cherry Color Size 4,PHARMEASY,1099.00,494.55,55,6,3,20,1,False
Liveasy Essentials Diabetic & Orthopedic Brown Slipper- Men- Size Uk 11,LIVEASY,999.00,449.55,55,4,3,20,1,False
Pharmeasy Diabetic & Orthopedic Men Sandals (Fahion Range-3) Brown Color Size 10,PHARMEASY,1099.00,494.55,55,2,2,20,1,False
Liveasy Essentials Anti-Diabetic Slippers Red Women Uk 4,LIVEASY,999.00,519.48,48,9,4,20,1,False
Pharmeasy Diabetic & Orthopedic Men Slippers (Fashion Range-4) Brown Color Size 11,PHARMEASY,1299.00,584.55,55,4,3,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers Style 2- Women- Blue With Pink Size 9,LIVEASY,699.00,314.55,55,2,4,20,1,False
Pharmeasy Diabetic & Orthopedic Women Sandals (Fahion Range-2) Brown Color Size 5,PHARMEASY,1299.00,389.70,70,5,4,20,1,False
Pharmeasy Diabetic & Orthopedic Men Sandals (Fahion Range-3) Brown Color Size 9,PHARMEASY,1299.00,584.55,55,3,4,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers - Electric Blue Women- Size Uk-7,LIVEASY,999.00,449.55,55,3,4,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers (Style 2) - Women Black- Size Uk-9,LIVEASY,999.00,519.48,48,1,5,20,1,False
Pharmeasy Diabetic & Orthopedic Men Slippers (Fashion Range-4) Brown Color Size 7,PHARMEASY,1299.00,584.55,55,5,4,20,1,False
Pharmeasy Diabetic & Orthopedic Women Sandals (Fahion Range-2) Brown Color Size 8,PHARMEASY,1299.00,584.55,55,2,1,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers (Style 2) - Women Brown - Size Uk-8,LIVEASY,999.00,449.55,55,Not Available,Not Available,20,1,False
Pharmeasy Diabetic & Orthopedic Men Slippers (Fashion Range-4) Brown Color Size 10,PHARMEASY,1299.00,584.55,55,7,4,20,1,False
Pharmeasy Diabetic & Orthopedic Women Slippers (Fashion Range-1) Black Color Size 5,PHARMEASY,1699.00,764.55,55,3,4,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers -Men Black- Size Uk-10 (Style 2),LIVEASY,1099.00,494.55,55,1,4,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers (Style 2) - Women Brown- Size Uk-6,LIVEASY,999.00,449.55,55,Not Available,Not Available,20,1,False
Pharmeasy Diabetic & Orthopedic Women Slippers (Fashion Range-1) Black Color Size 8,PHARMEASY,1099.00,494.55,55,7,4,20,1,False
Liveasy Essentials Diabetic & Orthopedic Black Slipper- Women- Size Uk 9,LIVEASY,999.00,449.55,55,Not Available,Not Available,20,1,False
Liveasy Essentials Women'S Diabetic & Orthopedic Slippers - Black With Yellow - Size Uk 8 / Us 11,LIVEASY,699.00,314.55,55,3,2,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers - Cream Women - Size Uk-5,LIVEASY,999.00,449.55,55,3,4,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers (Style 2) - Women Brown- Size Uk-7,LIVEASY,999.00,519.48,48,1,5,20,1,False
Pharmeasy Diabetic & Orthopedic Men Sandals (Fahion Range-3) Brown Color Size 6,PHARMEASY,1399.00,419.70,70,3,2,20,1,False
Liveasy Essentials Diabetic & Orthopedic Black Slipper- Women- Size Uk 4,LIVEASY,999.00,449.55,55,Not Available,Not Available,20,1,False
Liveasy Ortho Care Waist Trimmer / Abdominal Binder - Xxl (44 - 48 Inch),LIVEASY,599.00,509.15,15,6,3,20,1,False
Pharmeasy Orthopaedic And Diabetic Slippers -Sandy Beige-Uk9 - Women,PHARMEASY,1399.00,629.55,55,3,3,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers - Cream Women - Size Uk-4,LIVEASY,999.00,449.55,55,Not Available,Not Available,20,1,False
Liveasy Essentials Therapeutic Socks - Diabetic And Orthopaedic Foot - Unisex Socks - Pack Of One,LIVEASY,299.00,149.50,50,12,4,20,1,False
Liveasy Ortho Care Clavicle Brace-Large,LIVEASY,541.50,460.27,15,1,1,20,1,False
Liveasy Essentials Orthopaedic And Diabetic Comfortable Slippers-Black - Mens'Uk 7,LIVEASY,1099.00,1099.00,0,Not Available,Not Available,20,1,False
Pharmeasy Diabetic & Orthopedic Men Sandals (Fahion Range-3) Brown Color Size 8,PHARMEASY,1399.00,1399.00,0,7,3,20,1,False
Pharmeasy Diabetic & Orthopedic Men Slippers (Fashion Range-4) Brown Color Size 6,PHARMEASY,1299.00,584.55,55,5,2,20,1,False
Pharmeasy Diabetic & Orthopedic Women Slippers (Fashion Range-1) Black Color Size 9,PHARMEASY,1099.00,1099.00,0,Not Available,Not Available,20,1,False
Liveasy Essentials Orthopaedic And Diabetic Comfortable Slippers-Black - Mens'Uk 6,LIVEASY,1099.00,1099.00,0,2,2,20,1,False
Liveasy Essentials Diabetic & Orthopedic Slippers (Style 2) -Men Black- Size Uk-6,LIVEASY,999.00,449.55,55,Not Available,Not Available,20,1,False
